"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7149","should open the page","","2026-02-27","passed","2026-02-27","","QA-7410- [Footer]Check the URL when click Find A Location","",""
"","979","should scrolling to Footer and click Find A Location","","2026-02-27","passed","2026-02-27","","QA-7410- [Footer]Check the URL when click Find A Location","",""
